No,Micro,Genotype,Type,Site,load
bacfun12,bacfun,MH63,Wet,AH,42.50330477
bacfun13,bacfun,MH63,Wet,AH,41.94379795
bacfun14,bacfun,MH63,Wet,AH,94.75990033
bacfun15,bacfun,MH63,Wet,AH,54.80837313
bacfun16,bacfun,MH63,Wet,AH,65.0285164
bacfun17,bacfun,MH63,Wet,AH,51.73289094
bacfun18,bacfun,MH63,Wet,AH,57.98791031
bacfun19,bacfun,WYJ,Dry,AH,63.63894048
bacfun20,bacfun,WYJ,Dry,AH,71.61484101
bacfun21,bacfun,WYJ,Dry,AH,105.2287777
bacfun22,bacfun,WYJ,Dry,AH,123.7289371
bacfun23,bacfun,WYJ,Dry,AH,128.3355321
bacfun24,bacfun,WYJ,Dry,AH,128.0536436
bacfun25,bacfun,WYJ,Dry,AH,150.9170131
bacfun26,bacfun,WYJ,Dry,AH,115.3543059
bacfun27,bacfun,WYJ,Dry,AH,78.43157636
bacfun28,bacfun,WYJ,Dry,AH,80.83293355
bacfun29,bacfun,WYJ,Dry,AH,89.30223115
bacfun30,bacfun,WYJ,Dry,AH,67.4070591
bacfun31,bacfun,WYJ,Dry,AH,83.1649518
bacfun32,bacfun,WYJ,Dry,AH,99.94687096
bacfun33,bacfun,WYJ,Dry,AH,115.2888119
bacfun34,bacfun,WYJ,Wet,AH,112.9033504
bacfun35,bacfun,WYJ,Wet,AH,91.37617974
bacfun36,bacfun,WYJ,Wet,AH,57.65352998
bacfun37,bacfun,WYJ,Wet,AH,57.75664591
bacfun38,bacfun,WYJ,Wet,AH,71.3799406
bacfun39,bacfun,WYJ,Wet,AH,144.8739155
bacfun40,bacfun,WYJ,Wet,AH,78.97814156
bacfun41,bacfun,WYJ,Wet,AH,51.48370227
bacfun42,bacfun,WYJ,Wet,AH,50.5149013
bacfun43,bacfun,WYJ,Wet,AH,95.77072742
bacfun44,bacfun,WYJ,Wet,AH,68.31303685
bacfun45,bacfun,MH63,Dry,HN,160.3323118
bacfun46,bacfun,MH63,Dry,HN,604.5039381
bacfun47,bacfun,MH63,Dry,HN,263.8547238
bacfun48,bacfun,MH63,Dry,HN,149.8031981
bacfun49,bacfun,MH63,Dry,HN,250.5687249
bacfun50,bacfun,MH63,Dry,HN,189.2169367
bacfun51,bacfun,MH63,Dry,HN,289.7131531
bacfun52,bacfun,MH63,Dry,HN,299.1987729
bacfun53,bacfun,MH63,Dry,HN,217.1640044
bacfun54,bacfun,MH63,Dry,HN,155.765152
bacfun55,bacfun,MH63,Dry,HN,126.0623536
bacfun56,bacfun,MH63,Dry,HN,129.9222671
bacfun57,bacfun,MH63,Dry,HN,455.1398109
bacfun58,bacfun,MH63,Dry,HN,408.906051
bacfun59,bacfun,MH63,Dry,HN,430.337105
bacfun60,bacfun,MH63,Wet,HN,140.1157738
bacfun61,bacfun,MH63,Wet,HN,161.6005299
