,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Pro-1204,E04,3,0.428680982,0.238035264,0.401629802,0.437812861,0.303473492,0.36192648
Pro-670,E04,3,0.212806748,0.133501259,0.233216919,0.216403543,0.148385131,0.18886272
Pro-672,E04,3,0.143404908,0.071788413,0.136592938,0.140931844,0.093540524,0.117251725
Act-101,E05,3,0.104,0.095,0.108,0.112,0.096,0.1
Act-135,E05,3,0.035,0.033,0.037,0.037,0.034,0.03
Act-140,E05,3,0.087,0.075,0.082,0.093,0.078,0.08
Bac-186,E05,3,0.207,0.195,0.21,0.224,0.192,0.21
Fir-11,E05,3,0.272,0.226,0.224,0.241,0.183,0.23
Pro-1203,E05,3,0.056,0.051,0.049,0.057,0.042,0.05
Pro-1204,E05,3,0.059,0.047,0.052,0.059,0.043,0.05
Pro-670,E05,3,0.031,0.024,0.032,0.034,0.024,0.03
Pro-672,E05,3,0.021,0.017,0.012,0.017,0.012,0.02
Act-101,E05-5,3,0.568,0.374,0.641,0.553,0.452,0.52
Act-135,E05-5,3,0.179,0.135,0.228,0.195,0.156,0.18
Act-140,E05-5,3,0.472,0.298,0.538,0.513,0.412,0.45
Bac-186,E05-5,3,1.008,0.733,1.282,1.249,1.04,1.06
Fir-11,E05-5,3,1.426,0.796,1.436,1.372,1.002,1.21
Pro-1203,E05-5,3,0.358,0.193,0.279,0.301,0.217,0.27
Pro-1204,E05-5,3,0.363,0.201,0.334,0.321,0.241,0.29
Pro-670,E05-5,3,0.204,0.116,0.175,0.161,0.126,0.16
Pro-672,E05-5,3,0.125,0.065,0.122,0.115,0.087,0.1
Act-101,E04,3,0.798,0.49,0.878,0.826,0.649,0.73
Act-135,E04,3,0.234,0.165,0.3,0.302,0.232,0.25
Act-140,E04,3,0.608,0.351,0.624,0.64,0.504,0.55
Bac-186,E04,3,1.61,1.119,1.771,1.732,1.403,1.53
Fir-11,E04,3,1.94,1.047,1.745,1.734,1.268,1.55
Pro-1203,E04,3,0.414,0.239,0.389,0.392,0.272,0.34
Pro-1204,E04,3,0.429,0.238,0.402,0.438,0.303,0.36
Pro-670,E04,3,0.213,0.134,0.233,0.216,0.148,0.19
Pro-672,E04,3,0.143,0.072,0.137,0.141,0.094,0.12
Act-101,E05,2,0.072,0.064,0.064,NA,NA,0.07
Act-135,E05,2,0.024,0.022,0.024,NA,NA,0.02
Act-140,E05,2,0.061,0.06,0.052,NA,NA,0.06
Bac-186,E05,2,0.13,0.127,0.123,NA,NA,0.13
Fir-11,E05,2,0.17,0.103,0.129,NA,NA,0.13
Pro-1203,E05,2,0.067,0.044,0.046,NA,NA,0.05
Pro-1204,E05,2,0.068,0.041,0.053,NA,NA,0.05
Pro-670,E05,2,0.035,0.021,0.026,NA,NA,0.03
Pro-672,E05,2,0.02,0.011,0.016,NA,NA,0.02
Act-101,E05-5,2,0.361,0.231,0.237,NA,NA,0.28
Act-135,E05-5,2,0.126,0.083,0.077,NA,NA,0.1
Act-140,E05-5,2,0.317,0.235,0.213,NA,NA,0.25
Bac-186,E05-5,2,0.685,0.474,0.439,NA,NA,0.53
Fir-11,E05-5,2,0.849,0.385,0.441,NA,NA,0.56
Pro-1203,E05-5,2,0.326,0.151,0.191,NA,NA,0.22
Pro-1204,E05-5,2,0.336,0.162,0.199,NA,NA,0.23
Pro-670,E05-5,2,0.176,0.08,0.106,NA,NA,0.12
Pro-672,E05-5,2,0.118,0.048,0.059,NA,NA,0.07
Act-101,E04,2,0.537,0.358,0.302,NA,NA,0.4
Act-135,E04,2,0.174,0.114,0.103,NA,NA,0.13
Act-140,E04,2,0.426,0.308,0.239,NA,NA,0.32
Bac-186,E04,2,0.993,0.745,0.635,NA,NA,0.79
Fir-11,E04,2,1.167,0.487,0.572,NA,NA,0.74
Pro-1203,E04,2,0.474,0.215,0.227,NA,NA,0.31
Pro-1204,E04,2,0.485,0.234,0.238,NA,NA,0.32
Pro-670,E04,2,0.248,0.114,0.123,NA,NA,0.16
Pro-672,E04,2,0.151,0.075,0.078,NA,NA,0.1
