OTUS,AhMH63_RA,AhMH63_AA,AhWYJ_RA,AhWYJ_AA
OTU_35,1.007,2.492,0,0.849
OTU_117,0,2.54,0.697,1.17
OTU_103,0,2.532,0.767,1.306
OTU_236,0,2.421,0.934,1.255
OTU_297,1.472,3.173,0,0
OTU_129,0,2.343,0.861,1.453
OTU_248,0,2.282,0.878,1.508
OTU_878,1.275,2.61,0,0.87
OTU_211,1.554,3.208,0,0
OTU_517,0,3.243,0,1.549
OTU_53,0,2.469,1.009,1.377
OTU_301,1.936,3.009,0,0
OTU_22,0,0.937,1.858,2.282
OTU_47,0,1.939,1.427,1.846
OTU_84,0,2.027,1.539,1.911
OTU_290,0,1.779,1.643,2.108
OTU_125,1.87,3.676,0,0
OTU_6,0,4.73,0,0.853
OTU_686,1.868,3.848,0,0
OTU_208,0,2.685,1.467,1.776
OTU_172,0.971,2.53,1.037,1.396
OTU_412,0,2.338,1.61,2.059
OTU_142,0,0,2.897,3.253
OTU_205,0,3.55,1.223,1.469
OTU_164,0,0,2.994,3.423
OTU_44,1.646,3.313,0,1.473
OTU_128,0.717,2.135,1.613,2.011
OTU_245,1.976,3.383,0,1.238
OTU_11,0,1.646,2.295,2.708
OTU_643,2.882,3.789,0,0
OTU_309,1.405,2.727,1.131,1.424
OTU_993,0,0,6.757,0
OTU_414,0,2.264,1.998,2.516
OTU_307,0,2.795,1.882,2.508
OTU_226,1.495,3.03,1.287,1.437
OTU_184,1.262,2.79,1.291,2.05
OTU_42,1.533,2.988,1.151,1.798
OTU_326,1.378,2.812,1.408,1.894
OTU_266,1.454,3.357,2.469,2.947
OTU_811,3.117,3.371,1.801,1.979
OTU_720,2.384,3.192,2.223,2.727
OTU_346,0,0,6.948,5.29
OTU_701,0,0,9.026,5.97
OTU_244,3.632,3.755,3.998,3.736
OTU_107,6.44,9.621,0,0
OTU_621,7.865,0,6.946,3.595
