,spike,group,sample01,sample02,sample03,sample04,sample05,mean
Pro-672,E05-5,3,2.66,2.22,2.43,2.4,2.33,2.41
Pro-1203,E05-5,3,7.6,6.62,5.53,6.3,5.81,6.37
Pro-1204,E05-5,3,7.72,6.91,6.63,6.72,6.46,6.89
Bac-186,E05-10,3,25.19,29.02,27.33,26.96,28.79,27.46
Fir-11,E05-10,3,30.35,27.17,26.94,27,26.01,27.49
Act-101,E05-10,3,12.48,12.72,13.55,12.85,13.31,12.98
Act-135,E05-10,3,3.67,4.29,4.62,4.71,4.76,4.41
Act-140,E05-10,3,9.51,9.1,9.62,9.97,10.35,9.71
Pro-670,E05-10,3,3.33,3.46,3.6,3.37,3.04,3.36
Pro-672,E05-10,3,2.24,1.86,2.11,2.19,1.92,2.07
Pro-1203,E05-10,3,6.48,6.19,6,6.1,5.58,6.07
Pro-1204,E05-10,3,6.71,6.17,6.2,6.82,6.23,6.42
Bac-186,E00,3,24.7,27.72,26.46,26.51,28.71,26.82
Fir-11,E00,3,30.05,28.05,27.98,27.49,26.08,27.93
Act-101,E00,3,11.43,11.74,12.94,11.84,13.14,12.22
Act-135,E00,3,3.84,4.05,4.47,4.38,4.51,4.25
Act-140,E00,3,9.21,9.29,9.31,9.71,10.08,9.52
Pro-670,E00,3,4.09,3.8,3.88,3.75,3.29,3.76
Pro-672,E00,3,2.58,2.32,2.42,2.38,2.11,2.36
Pro-1203,E00,3,7.07,6.3,6.15,6.65,5.99,6.43
Pro-1204,E00,3,6.99,6.71,6.36,7.27,6.07,6.68
